State,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
California,   Accommodation and food services,Millions of current dollars,27202.1,29975.8,32700.9,36001.1,37607.8,40408.5,42029.7,45370.7,45600.2,48977.8,49906,50513.7,48239.6,49276.8,52011.7,54640.5,58205,65233.2,74206.3,80441.9,84941.4,88189.9,95197.8
California,    Accommodation,Millions of current dollars,6405.3,6881.8,7687.1,8753.4,8739.5,9035.3,9407.1,10763.3,10717.1,11969.6,12631.9,12706.7,11386,11784.7,12973.4,12904.3,13269.6,15372,17727.2,18664.6,19497.5,19020.1,20379
California,    Food services and drinking places,Millions of current dollars,20796.7,23094,25013.7,27247.7,28868.3,31373.2,32622.6,34607.4,34883.1,37008.2,37274.2,37806.9,36853.6,37492.2,39038.2,41736.2,44935.5,49861.2,56479.1,61777.3,65443.9,69169.8,74818.9
California,  Other services (except government and government enterprises),Millions of current dollars,31178.1,34309.3,35746.1,39037.2,35609.9,38423.2,37663.4,39625.5,41531.3,43600.8,43885.8,42858.1,41589,41626.6,42325.7,43951.1,45050.7,48152.9,50259.4,51279.6,53621.2,56129.8,58361.4
California, Government and government enterprises,Millions of current dollars,134919.3,142795.6,151205.5,164522.9,177229.8,187546.1,197011.7,205557,214774.7,226230,242448.9,254563.1,254303.5,257631.1,263196.4,264570.7,275202.7,289470.3,306082.5,317494.2,322400.9,335426.7,346828.7
California,  Federal civilian,Millions of current dollars,24140.7,24791.9,25339.5,26259.8,26050.9,27457,28561.9,29662.5,30388.4,31167.7,32338.1,33757,34814.6,37217.7,37160.7,37373.3,37010.1,38471.8,40311.6,41564.6,43564,45404.9,46559.8
California,  Military,Millions of current dollars,16224.9,16148.6,16063.6,16530.2,17036,18029.4,20020.6,21515.3,22578.5,23660,24845.8,26696.5,27989.7,29198.2,29561.5,29676.8,28966.4,28417.5,28120.4,28133.2,27715.2,26264,26621.5
California,  State and local,Millions of current dollars,94553.7,101855.1,109802.4,121732.9,134142.9,142059.8,148429.2,154379.1,161807.9,171402.4,185265,194109.7,191499.2,191215.2,196474.2,197520.6,209226.2,222581,237650.5,247796.4,251121.7,263757.8,273647.4
California,Natural resources and mining,Millions of current dollars,24874.7,21252.5,22311.7,25184.6,24175.5,24519.8,28056.7,34377.1,38000,42001.9,49847.4,51367.4,42775.4,46467.4,52800,55365.5,57501.8,58379.5,47042.7,44901.2,49232,50136.1,47411.5
California,Trade,Millions of current dollars,140178.5,151793.1,159301.7,171467.2,175097.4,179274.9,188530.5,199729.7,214464.9,228352.9,231659.9,224641.2,208839,220712,234065,242870,257989.3,272087.6,291432.9,288613.8,299011.1,308064.7,327683
